MSTATE,zip_clean,parcel_count,avg_parval,median_parval,avg_median_difference,million_plus_parcels,percent_million_plus
NC,27587,23664,549744,505945,43799,1218,5.15
NC,27519,20048,691283,632798,58485,2720,13.57
NC,27526,18821,479344,454253,25091,247,1.31
NC,27610,16388,351019,320995,30024,110,0.67
NC,27502,16384,594154,543461,50693,761,4.64
NC,27540,14834,622225,573243,48982,519,3.5
NC,27616,14683,394534,367551,26983,81,0.55
NC,27615,13621,614344,507621,106723,1044,7.66
NC,27603,13213,482006,406789,75217,357,2.7
NC,27513,13081,617077,530111,86966,1129,8.63
NC,27613,13066,602690,548140,54550,754,5.77
NC,27529,11307,390399,352056,38343,139,1.23
NC,27604,10848,436512,344266,92246,327,3.01
NC,27614,10682,690355,621468,68887,1317,12.33
NC,27612,10283,647323,545848,101475,1020,9.92
NC,27545,9584,389847,364037,25810,55,0.57
NC,27511,9072,574055,471923,102132,688,7.58
NC,27609,8724,764061,538169,225892,1541,17.66
NC,27591,8283,372570,350782,21788,47,0.57
NC,27539,8181,590548,563594,26954,382,4.67
NC,27606,7528,560704,470192,90512,495,6.58
NC,27560,7151,596259,521478,74781,417,5.83
NC,27518,6683,765575,666279,99296,655,9.8
NC,27523,6331,717317,652110,65207,1041,16.44
NC,27597,5877,358121,333605,24516,43,0.73
NC,27607,4793,800889,624692,176197,1056,22.03
NC,27617,4086,630188,460169,170019,324,7.93
NC,27608,3937,1070364,943870,126494,1805,45.85
NC,27592,3286,414194,413534,660,28,0.85
NC,27571,3204,498502,495437,3065,16,0.5
NC,27562,1765,675722,664581,11141,180,10.2
NC,27601,1517,1290569,553884,736685,239,15.75
NC,27605,1000,1316971,785828,531143,322,32.2
NC,27501,602,377565,377293,272,6,1
NC,27703,537,510977,401684,109293,28,5.21
NC,27520,504,377474,335046,42428,7,1.39
NC,27596,344,332092,302457,29635,3,0.87
NC,27602,295,1051626,270000,781626,59,20
NC,27611,277,1019578,321264,698314,50,18.05
NC,27713,272,544534,361896,182638,20,7.35
NC,27512,231,686591,440552,246039,26,11.26
NC,27588,197,785893,324792,461101,19,9.64
NC,27619,192,1320750,566074,754676,53,27.6
NC,27624,181,664692,398821,265871,25,13.81
NC,27517,179,709300,377182,332118,14,7.82
NC,27514,178,787177,425052,362125,14,7.87
NC,27527,173,417400,313316,104084,9,5.2
NC,27675,154,1060713,354422,706291,22,14.29
NC,27628,150,1184612,627264,557348,46,30.67
NC,27516,133,586742,428187,158555,14,10.53
NC,27522,128,431607,295564,136043,12,9.38
NC,27312,126,508190,391863,116327,6,4.76
NC,27622,119,873758,344393,529365,13,10.92
NC,27699,115,298203,126750,171453,7,6.09
NC,27629,113,710083,296226,413857,9,7.96
NC,27549,112,443145,296149,146996,9,8.04
NC,27658,107,983813,428471,555342,11,10.28
NC,27707,105,763386,430441,332945,11,10.48
NC,28277,96,466999,343932,123067,3,3.13
NC,27705,93,1760230,465902,1294328,16,17.2
NC,27525,81,602643,292283,310360,9,11.11
NC,27330,77,545340,379053,166287,5,6.49
NC,27577,74,1207163,478062,729101,17,22.97
NC,27620,72,343220,270188,73032,2,2.78
NC,27278,65,390742,337383,53359,1,1.54
NC,27627,64,574402,361084,213318,6,9.38
NC,27704,61,543129,253820,289309,5,8.2
NC,27804,58,843905,413869,430036,13,22.41
NC,27504,56,448137,304157,143980,4,7.14
NC,27636,54,686223,494862,191361,7,12.96
NC,27712,54,389064,352984,36080,0,0
