MCITY,MSTATE,MZIP,data_quality_issue
,,,Bad City
LAKEWOOD,NJ,08701-4894,Bad State
NEW YORK,NY,10011-1031,Bad State
NEW YORK,NY,10012-4279,Bad State
HIGHLAND FALLS,NY,10928-4008,Bad State
NEWTOWN SQ,PA,19073-4428,Bad State
WASHINGTON,DC,20007-2368,Bad State
MIDLOTHIAN,VA,23112-4287,Bad State
NORFOLK,VA,23505-4826,Bad State
COLUMBIA,SC,29223-3292,Bad State
CHESTERFIELD,SC,29709-6255,Bad State
DAWSONVILLE,GA,30534-5775,Bad State
SAVANNAH,GA,31404-3006,Bad State
VALPARAISO,IN,46383-7088,Bad State
MCKINNEY,TX,75070-8182,Bad State
SCOTTSDALE,AZ,85261-4090,Bad State
TEMPE,AZ,85288-1233,Bad State
TEMPE,AZ,85288-7095,Bad State
CALABASAS,CA,91302-4015,Bad State
TEHACHAPI,CA,93561-7012,Bad State
CONCORD,CA,94520-2609,Bad State
SAN JOSE,CA,95131-3050,Bad State
STOCKTON,CA,95209-4212,Bad State
ANNAPOLIS,MD,21403-3384,Bad State
MYRTLE BEACH,SC,29577-3239,Bad State
JACKSONVILLE,FL,32256-3742,Bad State
KELLER,TX,76248-5227,Bad State
DUBLIN,CA,94568-7646,Bad State
SOUTH GRAFTON,MA,01560-1261,Bad State
FRAMINGHAM,MA,01701-3694,Bad State
HOPKINTON,MA,01748-1329,Bad State
TYNGSBORO,MA,01879-2735,Bad State
SHARON,MA,02067-3135,Bad State
CAMBRIDGE,MA,02138-4833,Bad State
SOMERVILLE,MA,02145-2921,Bad State
EAST WEYMOUTH,MA,02189-2948,Bad State
BOSTON,MA,02210-2041,Bad State
WESTON,MA,02493-1039,Bad State
PROVINCETOWN,MA,02657-1606,Bad State
BARRINGTON,RI,02806-4856,Bad State
CUMBERLAND,RI,02864-4359,Bad State
NASHUA,NH,03062-3084,Bad State
WHITING,ME,04691-3224,Bad State
VERNON,CT,06066-5256,Bad State
MADISON,CT,06443-8016,Bad State
CARTERET,NJ,07008-2174,Bad State
HOBOKEN,NJ,07030-3079,Bad State
HOBOKEN,NJ,07030-6382,Bad State
HOBOKEN,NJ,07030-7704,Bad State
SCOTCH PLAINS,NJ,07076-4662,Bad State
WESTFIELD,NJ,07090-3439,Bad State
MOUNTAINSIDE,NJ,07092-1514,Bad State
SECAUCUS,NJ,07094-4426,Bad State
FAIR LAWN,NJ,07410-2941,Bad State
GLEN ROCK,NJ,07452-1538,Bad State
TETERBORO,NJ,07608-1216,Bad State
MONTVALE,NJ,07645-1765,Bad State
NORWOOD,NJ,07648-1612,Bad State
RIDGEFIELD,NJ,07657-1200,Bad State
NEPTUNE,NJ,07753-4319,Bad State
GILLETTE,NJ,07933-1807,Bad State
BELLE MEAD,NJ,08502-5852,Bad State
PLAINSBORO,NJ,08536-3137,Bad State
EAST BRUNSWICK,NJ,08816-2450,Bad State
MONROE TOWNSHIP,NJ,08831-2379,Bad State
MONROE,NJ,08831-5144,Bad State
KEASBEY,NJ,08832-1049,Bad State
HILLSBOROUGH,NJ,08844-4983,Bad State
HILLSBOROUGH,NJ,08844-8117,Bad State
MONMOUTH JUNCTION,NJ,08852-2752,Bad State
SOMERSET,NJ,08873-7484,Bad State
NEW YORK,NY,10001-4917,Bad State
NEW YORK,NY,10003-6409,Bad State
NEW YORK,NY,10012-4733,Bad State
NEW YORK,NY,10014-1634,Bad State
NEW YORK,NY,10017-2422,Bad State
NEW YORK,NY,10019-3054,Bad State
NEW YORK,NY,10033-1911,Bad State
NEW YORK,NY,10113-1951,Bad State
BRONX,NY,10463-1723,Bad State
NANUET,NY,10954-3852,Bad State
PEARL RIVER,NY,10965-1319,Bad State
MANHASSET,NY,11030-3814,Bad State
BROOKLYN,NY,11228-1007,Bad State
BROOKLYN,NY,11249-1597,Bad State
FLUSHING,NY,11354-2653,Bad State
FLUSHING,NY,11354-3303,Bad State
FLUSHING,NY,11355-2879,Bad State
FLUSHING,NY,11355-3207,Bad State
FLUSHING,NY,11357-3124,Bad State
EAST ELMHURST,NY,11369-1416,Bad State
SAINT ALBANS,NY,11412-3001,Bad State
LAWRENCE,NY,11559-1605,Bad State
OCEANSIDE,NY,11572-2936,Bad State
WESTBURY,NY,11590-1417,Bad State
WESTBURY,NY,11590-1918,Bad State
CENTRAL ISLIP,NY,11722-2019,Bad State
EAST NORWICH,NY,11732-1416,Bad State
JERICHO,NY,11753-1018,Bad State
MOUNT SINAI,NY,11766-2330,Bad State
HICKSVILLE,NY,11801-3422,Bad State
ALBANY,NY,12203-5125,Bad State
TONAWANDA,NY,14150-6704,Bad State
CHAUTAUQUA,NY,14722-0014,Bad State
CHESWICK,PA,15024-2356,Bad State
PITTSBURGH,PA,15241-2226,Bad State
EVANS CITY,PA,16033-7959,Bad State
BENSALEM,PA,19020-1640,Bad State
