MSTATE,zip_clean,parcel_count,avg_parcel_value,median_parcel_value,total_parcel_value,min_parcel_value,max_parcel_value
NC,27587,23664,549744,505945,13009144368,100,18677249
NC,27519,20048,691283,632798,13858848274,15050,7553086
NC,27526,18821,479344,454253,9021730288,100,8129285
NC,27610,16388,351019,320995,5752495670,1050,15390906
NC,27502,16384,594154,543461,9734613995,1,26218033
NC,27540,14834,622225,573243,9230084214,3060,508074046
NC,27616,14683,394534,367551,5792944533,1,26651018
NC,27615,13621,614344,507621,8367973244,440,71143808
NC,27603,13213,482006,406789,6368747606,1,29899939
NC,27513,13081,617077,530111,8071984730,720,28542515
NC,27613,13066,602690,548140,7874745692,100,38155942
NC,27529,11307,390399,352056,4414243371,75,21541020
NC,27604,10848,436512,344266,4735279998,100,30145826
NC,27614,10682,690355,621468,7374370318,100,24603376
NC,27612,10283,647323,545848,6656423519,100,84283874
NC,27545,9584,389847,364037,3736293813,190,14176277
NC,27511,9072,574055,471923,5207827978,1800,16970625
NC,27609,8724,764061,538169,6665669562,1750,53010113
NC,27591,8283,372570,350782,3085997376,228,6173740
NC,27539,8181,590548,563594,4831275593,1250,11800518
NC,27606,7528,560704,470192,4220976087,102,34885706
NC,27560,7151,596259,521478,4263846421,5620,11059304
NC,27518,6683,765575,666279,5116335004,1359,94126893
NC,27523,6331,717317,652110,4541332999,2800,11541850
NC,27597,5877,358121,333605,2104675496,283,10694785
NC,27607,4793,800889,624692,3838658874,100,40427119
NC,27617,4086,630188,460169,2574947387,8000,65824234
NC,27608,3937,1070364,943870,4214023677,25500,44904387
NC,27592,3286,414194,413534,1361040447,1850,5601041
NC,27571,3204,498502,495437,1597201166,31590,7092133
NC,27562,1765,675722,664581,1192649628,113,2893403
NC,27601,1517,1290569,553884,1957793352,100,123170526
NC,27605,1000,1316971,785828,1316971150,44244,104637156
NC,27501,602,377565,377293,227294160,4000,3457336
NC,27703,537,510977,401684,274394751,27500,7082397
NC,27520,504,377474,335046,190247055,6120,3234120
NC,27596,344,332092,302457,114239674,5940,2900200
NC,27602,295,1051626,270000,310229815,1480,21521174
NC,27611,277,1019578,321264,282423054,1680,17735439
NC,27713,272,544534,361896,148113121,43875,7493887
NC,27512,231,686591,440552,158602542,34850,14559758
NC,27588,197,785893,324792,154821019,35000,40743423
NC,27619,192,1320750,566074,253584084,9034,57725271
NC,27624,181,664692,398821,120309293,110513,8018642
NC,27517,179,709300,377182,126964622,52860,29722913
NC,27514,178,787177,425052,140117570,45000,12060583
NC,27527,173,417400,313316,72210155,13440,3317203
NC,27675,154,1060713,354422,163349799,442,21194826
NC,27628,150,1184612,627264,177691770,62500,7964360
NC,27516,133,586742,428187,78036696,140860,4220257
NC,27522,128,431607,295564,55245751,2380,2911249
NC,27312,126,508190,391863,64031885,135635,3492542
NC,27622,119,873758,344393,103977186,5250,24379300
NC,27699,115,298203,126750,34293292,100,6649060
NC,27629,113,710083,296226,80239341,64840,17341174
NC,27549,112,443145,296149,49632262,11600,3077014
NC,27658,107,983813,428471,105268017,115380,33257264
NC,27707,105,763386,430441,80155480,15750,14137293
NC,28277,96,466999,343932,44831899,187774,7893266
NC,27705,93,1760230,465902,163701390,108000,46672170
NC,27525,81,602643,292283,48814117,17000,9398900
NC,27330,77,545340,379053,41991174,1800,5517778
NC,27577,74,1207163,478062,89330046,35000,7914871
NC,27620,72,343220,270188,24711837,93500,2491376
NC,27278,65,390742,337383,25398229,42000,2239224
NC,27627,64,574402,361084,36761736,18000,5893050
NC,27704,61,543129,253820,33130841,1000,6438813
NC,27804,58,843905,413869,48946506,105000,5433055
NC,27504,56,448137,304157,25095690,57750,4379991
NC,27636,54,686223,494862,37056021,162928,2724676
NC,27712,54,389064,352984,21009452,159452,815920
NC,28412,48,438243,324819,21035651,20000,2844125
NC,27858,48,816042,364783,39169997,82250,8786971
NC,28512,46,732899,396380,33713354,75000,4899221
NC,28173,45,838741,430473,37743355,257892,9249308
NC,28557,42,571503,347342,24003109,94124,6784719
NC,28411,42,616158,391312,25878646,13000,4297417
NC,28403,41,710698,485637,29138623,12070,3980667
NC,27534,41,1043015,387163,42763618,73420,9775866
NC,28409,40,514445,347325,20577801,43750,3187581
NC,28562,40,676174,376868,27046941,90000,5399459
NC,27661,40,771479,300988,30859167,35000,11412287
NC,27701,39,945955,469439,36892258,221717,12035722
NC,27896,38,765045,446773,29071702,85780,3799576
NC,27623,36,521072,345623,18758601,102324,3452262
NC,27410,35,465162,355275,16280681,1104,2215800
NC,27893,35,658611,517050,23051391,125525,2857302
NC,28329,35,1418907,1339278,49661759,323557,3174832
NC,28374,35,847287,437537,29655032,149940,9562151
NC,28594,35,424373,333724,14853045,90080,941881
NC,27546,33,334965,309670,11053854,37500,1075219
NC,28027,33,403267,385627,13307817,209622,808114
NC,28314,32,445766,426461,14264516,70000,1176589
NC,27455,31,534726,362223,16576497,95480,2502397
NC,28211,31,5359231,1141516,166136174,238430,50405258
NC,28443,29,430456,380225,12483215,75000,1908852
NC,28480,29,1332643,727993,38646654,120000,5775050
NC,27565,28,544955,374517,15258751,14000,2340270
NC,28465,28,489053,448486,13693473,113256,1082285
NC,27265,27,536296,407691,14479994,241648,2057606
NC,28405,27,898023,409070,24246629,75000,6995486
NC,28445,27,479328,369490,12941856,178976,1779895
NC,28202,26,3218207,923051,83673374,564,18228399
NC,27803,26,760598,369621,19775536,139505,9203976
NC,28078,26,1737542,385715,45176099,244091,16062844
NC,27524,25,336305,272817,8407632,81520,1264240
NC,27850,25,439378,389016,10984454,84000,1178909
NC,28075,25,394113,379218,9852819,240799,876588
NC,27576,25,475669,293020,11891726,75000,2355337
NC,27215,24,421376,321322,10113021,17600,2460021
NC,28516,24,621545,401670,14917090,70000,2754123
NC,27559,24,536991,350907,12887796,170264,3807456
NC,28209,24,4896541,664515,117516974,60280,46755454
NC,28451,24,530819,518044,12739651,273569,893325
NC,27407,23,1908441,385866,43894132,71550,25567532
NC,27557,23,285871,301758,6575030,45588,855422
NC,27834,23,424542,355384,9764471,175700,1350982
NC,27709,22,1236340,409714,27199476,222385,7571513
NC,27856,22,309623,301286,6811700,116200,701778
NC,27106,21,724135,498258,15206841,241374,2868456
NC,27530,21,566620,336092,11899024,25451,3067727
NC,28031,21,427279,367843,8972855,253183,1057693
NC,28607,21,444348,400659,9331303,266868,875013
NC,27302,20,312251,285616,6245028,70500,605157
NC,28570,20,362908,343598,7258154,121000,654106
NC,28334,20,412623,345382,8252461,2,1922744
NC,27510,19,420624,371642,7991856,250781,894723
NC,27702,19,1596364,940506,30330924,85536,4208827
NC,28204,19,1662273,722578,31583179,243494,8558821
NC,28303,19,519866,415738,9877459,215428,2497915
NC,28326,19,747355,419806,14199743,257130,3690216
NC,27408,19,875054,476917,16626019,183493,4534742
NC,28105,18,591584,344080,10648513,121000,2159460
NC,27537,18,504157,309072,9074823,69761,2456713
NC,28803,18,1079855,666500,19437392,281293,3652727
NC,27536,18,632528,411993,11385497,49610,2981820
NC,28117,18,834548,447739,15021859,226293,4293996
NC,28352,18,317059,258574,5707067,161377,784752
NC,28110,18,385204,355663,6933667,251456,715676
NC,27253,17,657741,366859,11181603,80000,4232997
NC,27282,17,657307,394476,11174211,140000,3265199
NC,28270,17,455610,414385,7745368,266897,864485
NC,28306,17,441371,404244,7503302,180000,983369
NC,28387,16,1262107,475527,20193716,80500,13082634
NC,28036,16,578246,486854,9251928,207887,1288679
NC,28217,16,2263886,453201,36222174,243741,10406904
NC,28328,16,729876,463444,11678009,351237,3263018
NC,28401,16,506475,450697,8103601,287460,1164440
NC,28428,16,376785,346313,6028564,250351,732392
NC,28449,16,453134,344951,7250138,209992,855129
NC,28584,16,361530,337220,5784487,84032,594219
NC,28605,16,690625,672798,11050001,221014,1384920
NC,28205,16,1003596,612347,16057531,243262,7807779
NC,28546,16,483177,397428,7730839,308539,757845
NC,28311,16,370378,395826,5926041,120000,503047
NC,27344,16,546338,407021,8741400,218503,2020807
NC,28540,15,519092,382393,7786380,239614,1451954
NC,28601,15,476279,435606,7144191,277656,998277
NC,28208,15,1130596,382391,16958935,247748,8127627
NC,28226,15,1571199,566365,23567981,222953,5858018
NC,28210,15,1195991,339703,17939858,213516,11846220
NC,28590,15,422312,397286,6334677,272245,897440
NC,27358,14,401070,405015,5614973,275190,601393
NC,28462,14,412189,333809,5770642,78838,1057083
NC,28560,14,460296,427588,6444149,282983,787288
NC,28806,14,854307,384822,11960294,239054,7415978
NC,27406,14,634335,376498,8880692,216509,2376657
NC,28037,14,392008,418403,5488113,186503,589833
NC,28271,14,1554287,1180396,21760022,199944,7719907
NC,27870,14,509816,323638,7137422,162101,2673881
NC,27310,13,388459,377806,5049965,284065,513873
NC,27528,13,356746,338617,4637699,67050,626928
NC,28269,13,271555,276413,3530221,137036,487323
NC,28227,13,698865,447365,9085241,259422,1678756
NC,27332,13,425588,381527,5532644,250769,705707
NC,27405,13,918059,314789,11934763,162204,3419557
NC,28214,13,357761,332614,4650891,225201,646175
NC,28262,13,2737176,305302,35583286,194584,32017336
NC,27882,13,242820,231309,3156658,20000,428269
NC,28504,13,832596,347864,10823750,265966,4312702
NC,27006,13,355128,306645,4616658,115500,1006705
NC,27284,13,853018,463942,11089237,292955,2698277
NC,28203,13,2166544,1324893,28165074,315223,7449400
NC,28501,13,985891,267947,12816582,28500,5492241
NC,27103,12,641888,433114,7702655,252526,2156553
NC,27012,12,676289,432762,8115466,265568,2525309
NC,27292,11,410090,380182,4510994,245769,655474
NC,27360,11,1945234,737064,21397576,305633,8564684
NC,27401,11,1858058,744266,20438636,67400,10400656
NC,27205,11,505894,424092,5564837,275449,1232807
NC,27551,11,404293,366482,4447222,75000,699907
NC,28215,11,500587,412723,5506456,234422,1262211
NC,27104,11,1677180,517709,18448978,305366,6757208
NC,27515,11,435434,444146,4789769,245577,766351
NC,27842,11,329012,324971,3619137,80950,451375
NC,28469,11,431232,394790,4743555,65000,963645
NC,27101,10,2538281,2118500,25382814,549799,4927949
NC,27331,10,1175498,525672,11754979,103865,5943754
NC,27361,10,923038,679387,9230376,388158,1858098
NC,27542,10,302619,207773,3026188,80000,999290
NC,27889,10,607121,447588,6071214,326535,1162746
NC,28273,10,1865185,393797,18651847,261040,14261434
NC,28704,10,368719,334801,3687192,262227,492687
NC,28104,10,984331,403944,9843308,152536,6437543
NC,28390,10,337201,314142,3372013,224889,444795
NC,28304,10,934019,341766,9340192,177085,5940406
NC,28711,10,440340,391048,4403398,217484,666113
NC,28379,10,599319,562785,5993190,164264,1032719
NC,27409,9,5757199,448340,51814791,236179,48419355
NC,27650,9,539286,558810,4853570,166378,1093567
NC,28801,9,397657,354451,3578912,216936,702549
NC,28804,9,573854,571876,5164688,119538,1065145
NC,28305,9,963507,487698,8671562,370827,4976172
NC,28604,9,559029,560930,5031259,209123,1055100
NC,27589,9,410049,398580,3690438,229532,582460
NC,28327,9,387836,396699,3490525,295868,524728
NC,28335,9,1016624,608071,9149614,202228,2840741
NC,28461,9,446878,448296,4021904,218161,669447
NC,28467,9,505027,369615,4545245,279067,1104588
NC,27023,9,370706,392566,3336353,200000,596179
NC,27521,9,216044,186875,1944396,100000,445744
NC,27894,8,501454,255993,4011629,31364,1802613
NC,27954,8,829744,492161,6637950,284929,2226293
NC,28025,8,498309,367362,3986475,38260,1153593
NC,28213,8,561869,396254,4494952,235368,1740065
NC,28301,8,451711,312832,3613684,182026,1118410
NC,28365,8,554081,352757,4432646,208942,1789354
NC,28115,8,493843,430203,3950742,317024,695285
NC,27932,8,460523,409589,3684187,321804,718171
NC,27376,8,397447,382418,3179576,259055,617144
NC,27717,8,1083875,459426,8671003,339985,4652330
NC,27301,8,332139,264576,2657113,223095,518875
NC,27895,8,629531,285347,5036244,187379,1502111
NC,28460,8,399766,338239,3198129,75000,896015
NC,28206,8,1157000,340924,9256000,242874,3817510
NC,28315,8,506136,398373,4049086,288953,1087733
NC,28337,7,1393271,546880,9752900,113750,4767652
NC,27102,7,5746059,1739461,40222411,97685,31009295
NC,28655,7,632650,439100,4428549,398581,1797024
NC,27886,7,875416,489949,6127913,209224,1861916
NC,27574,7,656508,401568,4595555,260285,1738976
NC,28358,7,486984,316303,3408890,109560,1314736
NC,28532,7,399965,444654,2799758,82452,486359
NC,28571,7,386549,408716,2705846,190466,608358
NC,28001,7,507967,326979,3555771,110000,1654490
